Timestamp,Year of study,What is you department?,Are you currently pursuing a minor under any of the following departments/programs?,Gender,What song are you vibing to these days?,Relationship Status,Township,How frequently do you eat out?,How often do you feel homesick?,Do you get along with your roommate?,Are you facing Intern/placement issue?,How much are you affected by quizzes and assignments ?,"CPI (write in the text box) 
Disclaimer: This is an anonymous survey, we don't judge.",How is your social life?,How many hours do you sleep daily?,How well are you coping up with the offline semester?,Do you feel you are missing out?,Do you think your fluency in English affects your confidence?,How does your Insti life compare to your expectations? Take your time,Any feedback regarding the survey? How could we have done better?
10/27/2022 13:48:00,2nd,Civil,Computer Science and Engineering,Male,,In pursuit,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,4,7.93,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 13:48:21,2nd,Aerospace,None,Male,Kyun main jagoon,Committed,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,No,3,8.02,To a point where I feel guilty of inefficient time management,7,Too Hectic for me... online was smoother,"Socially, Extra Curriculars (Cult activities and college fests)",No,2,
10/27/2022 13:48:21,4th,Mechanical,Centre for Machine Intelligence and Data Science,Male,,Single,City,Occasionally (once in a week),Sometimes,I live in single occupancy,No,4,,I like to keep my social circle small,7,Its just perfect,Extra Curriculars (Cult activities and college fests),Yes,4,
10/27/2022 13:49:25,2nd,Environmental Science and Engineering,None,Male,"Dandelion , I am good,snap, good4 u",Single,City,Occasionally (once in a week),Never,I feel comfortable with them,I am happy with my internship opportunity.,2,7.7,I'm an extrovert,6,Its just perfect,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 13:49:39,2nd,Computer Science and Engineering,None,Male,,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,9.5,To a point where I feel guilty of inefficient time management,5,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/27/2022 13:49:55,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,No,4,9.08,To a point where I feel guilty of inefficient time management,4,Its just perfect,Extra Curriculars (Cult activities and college fests),No,4,
10/27/2022 13:50:30,2nd,Mechanical,None,Female,Waqt ki baatein,Committed,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am unable to find one that suits my interest.,5,7,To a point where I feel guilty of inefficient time management,8,Too Hectic for me... online was smoother,"Scholastically, Socially",Yes,1,
10/27/2022 13:51:26,4th,Chemical,None,Male,Kodaline - All I want,In pursuit,City,Occasionally (once in a week),Never,I live in single occupancy,I am feeling left out as my friends have already found fits.,5,6,To a point where I feel guilty of inefficient time management,3,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,2,
10/27/2022 13:51:44,2nd,Chemistry (BS),Electrical Engineering,Male,Panda gae,In pursuit,City,Never,Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,5,4.56,I like to keep my social circle small,4,Too Hectic for me... online was smoother,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,4,
10/27/2022 13:51:56,2nd,Mechanical,None,Male,,Single,City,Never,Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,5,8.44,I'm an extrovert,6,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),Yes,2,
10/27/2022 13:52:35,2nd,Civil,Shailesh J. Mehta School of Management,Male,,Single,City,Often (more than five times a week),Never,I feel comfortable with them,I am unable to find one that suits my interest.,3,8.37,I'm an extrovert,5,I am facing difficulty with time management,"Scholastically, Extra Curriculars (Cult activities and college fests)",Yes,4,
10/27/2022 13:53:17,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,"Blinding lights, suno na sangemarmar",Single,Town,Occasionally (once in a week),Never,I feel comfortable with them,No,2,,I like to keep my social circle small,8,I am facing difficulty with time management,"Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 13:53:19,2nd,Mechanical,Computer Science and Engineering,Male,Snow on the Beach,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,No,4,8.98,I like to keep my social circle small,6,Too Hectic for me... online was smoother,"Scholastically, Socially",Yes,4,
10/27/2022 13:53:33,2nd,Mechanical,None,Male,Electric Sunrise,Single,City,Never,Never,There is minor miscommunication,Inadequate opportunity in the sector I aspire to persue.,4,8.75,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests)",No,1,
10/27/2022 13:53:50,3rd,Mechanical,Electrical Engineering,Male,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am feeling left out as my friends have already found fits.,5,,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,1,
10/27/2022 13:54:12,2nd,Civil,Computer Science and Engineering,Male,Unholy,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,3,8.24,To a point where I feel guilty of inefficient time management,6,Too Hectic for me... online was smoother,"Socially, Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/27/2022 13:54:36,2nd,Chemical,None,Male,,Single,Town,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am feeling left out as my friends have already found fits.,1,7.17,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 13:55:32,3rd,Electrical,Computer Science and Engineering,Male,Japanese stuff,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,2,9.17,I like to keep my social circle small,7,Its just perfect,Socially,Yes,4,
10/27/2022 13:55:54,3rd,Civil,None,Female,Teri zhuki nazar,Single,Town,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am feeling left out as my friends have already found fits.,3,6.14,To a point where I feel guilty of inefficient time management,8,I am facing difficulty with time management,"Technical activities (Tech teams, Tech clubs etc.)",No,2,
10/27/2022 13:56:39,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Female,,Single,City,Often (more than five times a week),Sometimes,There is minor miscommunication,Inadequate opportunity in the sector I aspire to persue.,4,,I like to keep my social circle small,8,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 13:56:53,3rd,Mechanical,None,Male,Bewafaa,Committed,City,Often (more than five times a week),Only during difficult times,I live in single occupancy,I am feeling left out as my friends have already found fits.,1,9,I like to keep my social circle small,8,Too Hectic for me... online was smoother,Socially,Yes,3,
10/27/2022 13:57:48,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,House of Memories,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,3,8.73,I like to keep my social circle small,8,I am facing difficulty with time management,"Socially, Technical activities (Tech teams, Tech clubs etc.)",No,2,
10/27/2022 13:59:16,2nd,Electrical,None,Male,Jalebi aur samosa,In pursuit,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,9.25,I like to keep my social circle small,5,Too Hectic for me... online was smoother,"Socially, Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 13:59:29,3rd,Aerospace,Aerospace Engineering,Male,Channa mereya,Broke up recently,City,Often (more than five times a week),Always,There is minor miscommunication,I am feeling left out as my friends have already found fits.,5,4.01,To a point where I feel guilty of inefficient time management,8,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",I don't understand the question :(,1,
10/27/2022 14:00:07,2nd,Civil,Desai Sethi Entrepreneurship School,Male,,Single,City,Often (more than five times a week),Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,3,8.03,To a point where I feel guilty of inefficient time management,8,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/27/2022 14:00:34,3rd,Mechanical,None,Male,,Single,City,Never,Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,4,7.1,I prefer my own company,7,Its just perfect,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 14:00:39,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,Without me-Eminem,Single,City,Often (more than five times a week),Only during difficult times,I feel comfortable with them,No,3,9,I like to keep my social circle small,6,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/27/2022 14:02:30,2nd,Mechanical,None,Male,,Single,Town,Occasionally (once in a week),Sometimes,There is minor miscommunication,I am feeling left out as my friends have already found fits.,3,,I like to keep my social circle small,6,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),Yes,3,
10/27/2022 14:03:13,3rd,Electrical,None,Male,Better days by neiked,Committed,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,3,7,I like to keep my social circle small,6,I am facing difficulty with time management,"Scholastically, Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 14:05:43,3rd,Chemical,None,Male,,In pursuit,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,3,,I like to keep my social circle small,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests)",No,4,
10/27/2022 14:05:46,2nd,Metallurgy Engineering and Material Science,Electrical Engineering,Male,Slow/soft,Single,City,Often (more than five times a week),Only during difficult times,I feel comfortable with them,No,4,8.5+,To a point where I feel guilty of inefficient time management,6,Too Hectic for me... online was smoother,Scholastically,No,4,
10/27/2022 14:07:27,2nd,Mechanical,None,Male,Kali Kali zulfon ke fande na dalo,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am unable to find one that suits my interest.,4,6.46,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Scholastically, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,5,
10/27/2022 14:07:58,2nd,Electrical,Centre for Machine Intelligence and Data Science,Male,,Single,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am unable to find one that suits my interest.,4,9.51,I'm an extrovert,6,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,3,
10/27/2022 14:09:03,2nd,Mechanical,Aerospace Engineering,Male,Dancing with your ghost,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,5,8,I like to keep my social circle small,6,Its just perfect,Scholastically,Yes,1,
10/27/2022 14:12:03,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am happy with my internship opportunity.,4,9.5,I like to keep my social circle small,7,I am facing difficulty with time management,"Scholastically, Socially",Yes,4,
10/27/2022 14:12:15,2nd,Mechanical,None,Female,Faded,Committed,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,3,
10/27/2022 14:13:28,2nd,Mechanical,Desai Sethi Entrepreneurship School,Female,Kho gaye,Single,City,Never,Only during difficult times,There is minor miscommunication,I am happy with my internship opportunity.,4,7.7,I prefer my own company,6,I am facing difficulty with time management,Socially,No,2,
10/27/2022 14:13:39,2nd,Electrical,None,Male,,Single,City,Often (more than five times a week),Never,I feel comfortable with them,I am unable to find one that suits my interest.,4,8.22,I prefer my own company,7,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 14:18:40,2nd,Aerospace,Centre for Machine Intelligence and Data Science,Male,"Chocolate (The 1975), Chaudhary (Mame Khan), Maroon (Taylor Swift),",In pursuit,City,Occasionally (once in a week),Sometimes,There is minor miscommunication,No,3,8.8,I like to keep my social circle small,8,I am facing difficulty with time management,Scholastically,Yes,4,
10/27/2022 14:19:29,3rd,Civil,None,Male,The Last Ride,Single,Town,Occasionally (once in a week),Sometimes,I live in single occupancy,I am happy with my internship opportunity.,5,7.1,I like to keep my social circle small,8,Its just perfect,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,1,
10/27/2022 14:23:52,2nd,Civil,Mechanical Engineering,Male,Kesariya,In pursuit,City,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,No,1,7.75,I prefer my own company,8,Too Hectic for me... online was smoother,Extra Curriculars (Cult activities and college fests),No,2,
10/27/2022 14:23:53,2nd,Energy Science,Mathematics,Male,Mexicano Remasterizado,Broke up recently,City,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,I am unable to find one that suits my interest.,5,lmao,To a point where I feel guilty of inefficient time management,6,Too Hectic for me... online was smoother,"Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 14:24:49,3rd,Mechanical,Aerospace Engineering,Male,Another love,Single,City,Often (more than five times a week),Only during difficult times,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,,I like to keep my social circle small,5,Its just perfect,"Scholastically, Extra Curriculars (Cult activities and college fests)",Yes,4,
10/27/2022 14:25:11,M.tech,Humanities and Social Science,Civil,Male,Tere Naam(Sad),Committed,City,Never,Never,I feel comfortable with them,I am feeling left out as my friends have already found fits.,5,Teri maa ki chut,I prefer my own company,1,Its just perfect,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",I don't understand the question :(,1,
10/27/2022 14:26:16,2nd,Electrical,None,Male,Hard Rock,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am happy with my internship opportunity.,4,,I like to keep my social circle small,5,I am facing difficulty with time management,Scholastically,No,4,
10/27/2022 14:29:52,2nd,Civil,None,Male,,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,I am happy with my internship opportunity.,4,10,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 14:33:32,3rd,Civil,Centre for Machine Intelligence and Data Science,Male,bewafa,Broke up recently,City,Never,Only during difficult times,There is minor miscommunication,I am unable to find one that suits my interest.,3,8.82,To a point where I feel guilty of inefficient time management,4,Too Hectic for me... online was smoother,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,1,
10/27/2022 14:35:54,2nd,Computer Science and Engineering,None,Male,,Single,Town,Often (more than five times a week),Sometimes,I feel comfortable with them,No,5,7,To a point where I feel guilty of inefficient time management,8,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),No,1,
10/27/2022 14:36:17,2nd,Civil,SysCon,Male,Hitamuki by Super Beaver,Single,City,Often (more than five times a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,4,,I like to keep my social circle small,8,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),Yes,3,
10/27/2022 14:36:31,2nd,Mechanical,Desai Sethi Entrepreneurship School,Male,Main Chala,Committed,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,7.78,I'm an extrovert,8,Too Hectic for me... online was smoother,"Scholastically, Extra Curriculars (Cult activities and college fests)",Yes,3,
10/27/2022 14:37:17,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,4,8.88,I like to keep my social circle small,7,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,2,
10/27/2022 14:41:19,2nd,Mechanical,None,Male,Metal/rock,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,2,,I like to keep my social circle small,7,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,2,
10/27/2022 14:43:01,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,,Single,City,Often (more than five times a week),Sometimes,There is minor miscommunication,I am unable to find one that suits my interest.,3,9.81(will be terribly reduced after this sem),To a point where I feel guilty of inefficient time management,8,Too Hectic for me... online was smoother,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,2,
10/27/2022 14:43:28,2nd,Computer Science and Engineering,None,Male,,Single,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,9.56,To a point where I feel guilty of inefficient time management,8,Too Hectic for me... online was smoother,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",Yes,2,
10/27/2022 14:44:15,3rd,Humanities and Social Science,None,Male,Coke studio songs,In pursuit,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,7.7,To a point where I feel guilty of inefficient time management,6,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 14:45:20,2nd,Mechanical,None,Female,"Dandelions , golden hour<3",Single,Town,Never,Only during difficult times,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,3,6.8 but is sem se bohot hopes h :),I like to keep my social circle small,7,Its just perfect,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,3,
10/27/2022 14:46:15,2nd,Mechanical,None,Female,,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,3,,I'm an extrovert,7,Its just perfect,"Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 14:58:07,2nd,Electrical,SysCon,Male,,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,I am unable to find one that suits my interest.,1,9.05,I like to keep my social circle small,7,Its just perfect,Extra Curriculars (Cult activities and college fests),No,5,
10/27/2022 15:00:53,2nd,Computer Science and Engineering,Centre for Machine Intelligence and Data Science,Male,Phut Hon,Single,Town,Occasionally (once in a week),Sometimes,There is minor miscommunication,I am feeling left out as my friends have already found fits.,5,,To a point where I feel guilty of inefficient time management,4,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),Yes,3,
10/27/2022 15:09:13,2nd,Mechanical,None,Female,Until I found her,Committed,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,I am unable to find one that suits my interest.,4,7.64,I like to keep my social circle small,5,I am facing difficulty with time management,"Extra Curriculars (Cult activities and college fests), Technical activities (Tech teams, Tech clubs etc.)",No,4,
10/27/2022 15:11:07,3rd,Metallurgy Engineering and Material Science,None,Male,Like A Blade Of Glass,Single,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,2,6.01,I prefer my own company,8,I am facing difficulty with time management,"Scholastically, Socially",Yes,2,
10/27/2022 15:12:05,2nd,Mechanical,None,Male,Agar tum saath ho,In pursuit,City,Often (more than five times a week),Only during difficult times,There is minor miscommunication,I am feeling left out as my friends have already found fits.,4,3.8,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Socially, Technical activities (Tech teams, Tech clubs etc.)",No,2,
10/27/2022 15:14:48,3rd,Mechanical,None,Male,Eye of the Tiger,Single,City,Occasionally (once in a week),Never,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,5,7.82,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),No,3,
10/27/2022 15:15:21,2nd,Electrical,Centre for Machine Intelligence and Data Science,Male,Ban than ke muthiyaara aaya aaya patola ban ke,In pursuit,City,Occasionally (once in a week),Never,I live in single occupancy,I am feeling left out as my friends have already found fits.,5,69420,To a point where I feel guilty of inefficient time management,8,Too Hectic for me... online was smoother,"Socially, Extra Curriculars (Cult activities and college fests)",Yes,1,
10/27/2022 15:16:57,3rd,Mechanical,SysCon,Male,,Single,Town,Occasionally (once in a week),Only during difficult times,I feel comfortable with them,I am feeling left out as my friends have already found fits.,4,,To a point where I feel guilty of inefficient time management,7,I am facing difficulty with time management,"Scholastically, Socially, Extra Curriculars (Cult activities and college fests)",No,3,
10/27/2022 15:18:51,PhD,Aerospace,None,Male,Red Taylor's Version the album,Broke up recently,Town,Occasionally (once in a week),Sometimes,I live in single occupancy,No,3,8,To a point where I feel guilty of inefficient time management,8,Its just perfect,Scholastically,No,4,
10/27/2022 15:19:06,2nd,Chemical,Centre for Machine Intelligence and Data Science,Male,Jason bourne -'Extreme ways',Single,Town,Occasionally (once in a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,4,9.56,I like to keep my social circle small,8,Too Hectic for me... online was smoother,Extra Curriculars (Cult activities and college fests),No,4,
10/27/2022 15:23:43,2nd,Mechanical,SysCon,Male,Alag Aasmaan,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,Inadequate opportunity in the sector I aspire to persue.,3,8.8,I like to keep my social circle small,5,I am facing difficulty with time management,"Socially, Extra Curriculars (Cult activities and college fests)",No,3,
10/27/2022 15:25:38,2nd,Civil,None,Male,"Dope shope, honey singh xd",Single,City,Occasionally (once in a week),Only during difficult times,There is minor miscommunication,No,4,7.25,I like to keep my social circle small,6,I am facing difficulty with time management,"Technical activities (Tech teams, Tech clubs etc.)",Yes,4,
10/27/2022 15:25:47,2nd,Civil,Computer Science and Engineering,Female,,Single,City,Never,Only during difficult times,There is minor miscommunication,No,3,,I like to keep my social circle small,6,I am facing difficulty with time management,Extra Curriculars (Cult activities and college fests),Yes,3,
10/27/2022 15:26:09,4th,Electrical,Computer Science and Engineering,Male,Slow Grenade by Ellie Goulding,Single,Town,Occasionally (once in a week),Sometimes,I live in single occupancy,No,3,9.26,I prefer my own company,5,I am facing difficulty with time management,Socially,No,2,
10/27/2022 15:27:49,PhD,IDC School of Design,Centre for Machine Intelligence and Data Science,Your mom,God hates us,Single,Town,Occasionally (once in a week),Sometimes,I live in single occupancy,I am unable to find one that suits my interest.,1,Fuck you,I'm an extrovert,8,Its just perfect,Scholastically,No,3,
10/27/2022 15:30:07,2nd,Mechanical,Centre for Machine Intelligence and Data Science,Male,Never gonna give you up - Rick Astley,Single,City,Occasionally (once in a week),Sometimes,I feel comfortable with them,No,5,8.6,I like to keep my social circle small,8,Too Hectic for me... online was smoother,"Socially, Technical activities (Tech teams, Tech clubs etc.)",No,2,
